philosophy of the world,the shaggs,8.6
coming home (original ghanaian highlife & afrobeat classics 1967-1981),pat thomas,7.2
outer,dusky,5.7
complete third,big star,9.5
cashmere,swet shop boys,7.4
there is no right time,youandewan,7.6
marked for death,emma ruth rundle,7.4
ruminations,conor oberst,7.5
cody,joyce manor,7.7
the altar,banks,5.1
notu_uronlineu,dva [hi:emotions],7.1
heart like a levee,hiss golden messenger,8.2
day breaks,norah jones,6.9
shit don't stop,g perico,7.5
throwback to the future,brookzill!,6.2
revolution radio,green day,5.1
requiem ,goat,7.3
root/void,mv & ee,7.3
sonoran depravation,gatecreeper,7.5
while they were sleeping,candiria,7.2
rhythm nation 1814,janet jackson,9.0
be here now,oasis,5.3
private energy,helado negro,8.1
cold summer,dj mustard,6.9
sorceress,opeth,6.7
lamentations ,moses sumney,7.4
big boat,phish,5.3
three,phantogram,5.8
everywhere at the end of time,the caretaker,7.3
head carrier,pixies,5.5
fires within fires,neurosis,7.1
serpent music,yves tumor,7.3
a seat at the table,solange,8.7
light we made,balance and composure,6.8
13,supersilent,7.0
the electric lucifer,bruce haack,7.6
blood bitch,jenny hval,8.3
fio da memria,lusa maita,7.7
rheia,oathbreaker,7.8
monologue,aaron abernathy,7.2
atrocity exhibition,danny brown,8.5
quebec place,innanet james,7.5
real enemies,darcy james argue's secret society,8.3
alien lanes,guided by voices,9.2
blue mountain,bob weir,7.5
rr7349,s u r v i v e,7.4
the ecm recordings,steve reich,9.0
electronic music from the seventies and eighties,carl stone,6.7
expert knob twiddlers,mike & rich,6.6
a 1000 keys,thomas brinkmann,6.9
alienist,psychic tv,7.0
sirens,nicolas jaar,8.7
heads up,warpaint,6.7
fetish bones,moor mother,8.2
masculin fminin,blonde redhead,7.3
the healing component,mick jenkins,7.6
campaign,ty dolla $ign,6.9
return to love,lvl up,7.3
ape in pink marble,devendra banhart,6.6
human energy,machinedrum,7.3
legends never die,chinx,6.0
open to chance,itasca,7.8
care,how to dress well,6.8
mirage,fleetwood mac,8.5
a corpse wired for sound,merchandise,7.4
a loud bash of teenage feelings,beach slang,7.3
i remember,alunageorge,6.6
mamas gun,erykah badu,9.4
shape shift with me,against me!,7.4
instrumentalepathy,the gaslamp killer,7.7
crooked man,crooked man,7.8
dang,eola,6.8
sunlit youth,local natives,6.3
departed glories,biosphere,7.6
mykki,mykki blanco,7.7
chapter and verse,bruce springsteen,7.5
mount ninji and da nice time kid,die antwoord,6.1
up against the bricks,dyke drama,7.1
we are the halluci nation,a tribe called red,8.1
hard ii love,usher,6.6
fear and fury,pallbearer,7.4
feature magnetic,kool keith,7.5
the randy newman songbook,randy newman,7.5
