Bark Your Head Off, Dog,Hop Along,8.0
Sister Cities,The Wonder Years,7.1
The Louder I Call, the Faster It Runs,Wye Oak,8.0
I Don’t Run,Hinds,7.4
Golden,Kylie Minogue,5.4
Virtue,The Voidz,6.9
Chris Carter’s Chemistry Lessons Volume One,Chris Carter,8.0
Liberating Guilt and Fear,Empath,8.1
Just Cause Y’all Waited,Lil Durk,7.3
Everything’s Fine,Jean GraeQuelle Chris,8.4
Daphne & Celeste Save The World,Daphne & Celeste,7.0
NON Worldwide Compilation Trilogy Volume 2: Part 1,Various Artists,7.4
Haze,The Shacks,6.1
My Dear Melancholy,,The Weeknd,6.5
Uneven Paths: Deviant Pop From Europe 1980-1991,Various Artists,7.2
Liberty,Lindi Ortega,7.4
Warm Bodies,Warm Bodies,7.7
Golden Hour,Kacey Musgraves,8.7
The Calling EP,Sevdaliza,7.0
Expectations,Hayley Kiyoko,6.0
Czarface Meets Metal Face,CzarfaceMF DOOM,6.4
Raw Like Sushi,Neneh Cherry,8.0
Shake It Up,The Cars,6.9
No Joy / Sonic Boom EP,No JoySonic Boom,5.8
The Messthetics,The Messthetics,7.4
Ceremony of Dreams: Studio Sessions & Outtakes, 1972-1977,Entourage,7.6
Freedom,Amen Dunes,8.6
Gravitational Pull vs. the Desire for an Aquatic Life,Stars of the Lid,7.7
Your Queen Is a Reptile,Sons of Kemet,7.6
Collection 1,SAINt JHN,6.9
Code Girl,Mary Halvorson,8.1
Vessel,Frankie Cosmos,7.8
Sex & Cigarettes,Toni Braxton,6.8
The Rite of May EP,Oklou,6.7
Don Talk,Don Q,5.2
Paradox (Original Music From the Film),Neil YoungPromise of the Real,6.0
Isle of Dogs (Original Soundtrack),Various Artists,7.3
The Four Worlds,Mark Pritchard,7.6
Edgewood,Trouble,7.8
The Final Tour: The Bootleg Series, Vol. 6,Miles DavisJohn Coltrane,8.3
The Kids Are Alright,Chloe x Halle,7.6
01DEAS,The Maghreban,7.2
Blueprint,Alice Bag,7.4
California EP,Diplo,7.4
Cinema,Holger Czukay,9.0
Twentytwo in Blue,Sunflower Bean,6.4
2 Tone,Shuta HasunumaU-zhaan,7.4
Something Else,The Kinks,9.3
Closing Time,Tom Waits,8.7
Hormone Lemonade,Cavern of Anti-Matter,7.7
Deep Soundscapes,Takecha,7.2
Cardamom Garden EP,Habibi,6.8
Boarding House Reach,Jack White,4.7
The Smoke,Lolina,8.0
Music and Poetry of the Kesh,Ursula K. Le GuinTodd Barton,8.3
Longwave,Bonny Doon,6.3
New Material,Preoccupations,7.6
PRhyme 2,PRhyme,6.1
Elevators: Act I & II,Bishop Nehru,6.2
Brat Mail,Kash Doll,6.1
Rich as in Spirit,Rich Homie Quan,7.7
High Maintenance EP,Saweetie,6.7
No Fool Like an Old Fool,Caroline Says,7.5
A Strange Journey Into the Unimaginable,Murs,6.8
There’s a Riot Going On,Yo La Tengo,7.6
Dog Bless,Gulfer,7.4
Bliss,Hell to Pay,7.2
All That Must Be,George FitzGerald,6.4
I’ll Be Your Girl,The Decemberists,6.1
Jericho Sirens,Hot Snakes,7.7
Consumers Park,Chuck Strangers,7.4
Long Trax 2,Will Long,6.2
Nebraska,Bruce Springsteen,10
Ventriloquism,Meshell Ndegeocello,7.8
Romance,Oneida,7.4
